exercise_id,category,sub_category,exercise_name,intensity_desc,met_value,kcal_60kg_per_hour,remark
1,有氧运动,步行徒步,慢走（3.2km/h平路）,极低强度休闲散步,2.5,150,官方代码17150，逛街遛弯水平
2,有氧运动,步行徒步,日常步行（4.0km/h）,低强度正常步速,3.0,180,官方代码17170，普通上下班步行
3,有氧运动,步行徒步,中速快走（4.8km/h）,中低强度健走,3.5,210,官方代码17180，减脂入门首选
4,有氧运动,步行徒步,快速快走（6.4km/h）,中等强度健走,5.0,300,官方代码17190，心率明显提升
5,有氧运动,步行徒步,竞走（7.2km/h）,中高强度专业竞走,6.5,390,官方标准值，发力充分
6,有氧运动,步行徒步,负重步行（背包5kg 5km/h）,中等强度带负重,4.5,270,匹配官方负重步行系数，消耗提升约30%
7,有氧运动,步行徒步,平缓越野徒步（平路混合土路）,中等强度,6.0,360,官方cross country hiking标准值，地形平缓起伏小
8,有氧运动,步行徒步,缓坡徒步（1-5%坡度 无负重）,中等强度,5.3,318,官方uphill hiking 1-5% grade标准，景区平缓山路
9,有氧运动,步行徒步,中坡徒步（6-15%坡度 无负重）,高强度,8.0,480,官方uphill hiking 6-15% grade标准，山地常规线路
10,有氧运动,步行徒步,陡坡攀爬（16-25%坡度）,极高强度,8.8,528,官方uphill hiking 16-25% grade标准，需手脚辅助发力
11,有氧运动,步行徒步,轻负重徒步（背包5kg 混合地形）,中高强度,6.5,390,单日轻装徒步，随身小包负重
12,有氧运动,步行徒步,中负重徒步（背包10kg 山地）,高强度,7.3,438,官方hiking with 10lb pack标准，单日露营徒步
13,有氧运动,步行徒步,重装徒步（背包20kg 山地）,极高强度,8.3,498,官方hiking with 20lb pack标准，多日重装穿越
14,有氧运动,步行徒步,高海拔登山,极高强度,9.0,540,海拔3000m以上高山攀登，含缺氧额外消耗
15,有氧运动,步行徒步,下坡徒步（平缓下山）,低强度,3.5,210,官方downhill walking标准，消耗约为上坡的40%-50%
16,有氧运动,步行徒步,爬楼梯（慢速）,中等强度,4.0,240,官方climbing stairs slow标准，普通上楼速度
17,有氧运动,步行徒步,爬楼梯（快速/爬楼机）,高强度,8.0,480,官方stair climber moderate标准，连续快速攀爬
18,有氧运动,跑步,超慢跑（6.4km/h 配速9'23''）,低强度入门跑,6.0,360,官方jogging 4mph标准，新手跑走过渡首选
19,有氧运动,跑步,慢跑（8.0km/h 配速7'30''）,中低强度,8.3,498,官方running 5mph标准，减脂黄金心率区间
20,有氧运动,跑步,中速跑（9.7km/h 配速6'10''）,中等强度,10.0,600,官方running 6mph标准，说话略费力
21,有氧运动,跑步,中速跑（11.3km/h 配速5'20''）,中高强度,11.0,660,官方running 7mph标准，呼吸明显加快
22,有氧运动,跑步,快速跑（12.9km/h 配速4'40''）,高强度,11.8,708,官方running 8mph标准，间歇跑配速
23,有氧运动,跑步,快跑（16.1km/h 配速3'45''）,极高强度,14.0,840,官方running 10mph标准，专业竞速水平
24,有氧运动,跑步,跑步机爬坡跑（坡度5% 8km/h）,高强度,10.5,630,官方running 5mph 5% grade标准，坡度显著提升消耗
25,有氧运动,跑步,跑步机爬坡跑（坡度10% 8km/h）,极高强度,13.0,780,官方running 5mph 10% grade标准，大坡度燃脂
26,有氧运动,跑步,负重跑步（负重背心3kg 8km/h）,高强度,9.0,540,匹配官方负重跑步系数，增加核心发力
27,有氧运动,跑步,户外越野跑（土路起伏）,高强度,9.5,570,官方trail running标准，地形复杂消耗更高
28,有氧运动,有氧操舞蹈,低强度有氧操,低强度新手友好,5.0,300,官方low impact aerobics标准，动作舒缓
29,有氧运动,有氧操舞蹈,中强度有氧健身操,中等强度,7.0,420,官方high impact aerobics标准，大众减脂操水平
30,有氧运动,有氧操舞蹈,高强度有氧搏击操,高强度,8.0,480,官方kickboxing aerobics标准，拳击动作+跳跃
31,有氧运动,有氧操舞蹈,广场舞（慢节奏）,低强度,3.5,210,匹配低强度舞蹈分类，中老年常规节奏
32,有氧运动,有氧操舞蹈,广场舞（快节奏）,中低强度,5.0,300,匹配中等强度舞蹈分类，快歌跟跳
33,有氧运动,有氧操舞蹈,爵士舞,中等强度,5.5,330,官方dance jazz标准，含力量控制
